<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1484272500,817.23,817.23,817.23,817.23,8026.301860500001
1484272560,817.22,817.22,815.27,815.27,4302.1356826
1484272620,815.35,815.35,815.35,815.35,48.92100000000001
1484272680,815.35,815.35,815.35,815.35,48.92100000000001
1484272740,815.35,815.35,815.35,815.35,48.92100000000001
1484272800,815.35,815.36,815.35,815.36,5085.6616255
1484272860,815.35,815.35,815.35,815.35,564.2955815
1484272920,815.35,815.35,815.35,815.35,3717.4823295
1484272980,815.36,815.36,815.36,815.36,9.9750571648
1484273040,815.36,815.36,815.36,815.36,47.591486925
1484273100,815.36,815.36,815.35,815.35,4686.0857155
1484273160,815.37,815.38,815.37,815.38,5298.9855154
1484273220,815.37,815.38,815.37,815.38,5298.9855154
1484273280,815.38,817.12,815.38,817.12,13383.056562
1484273340,817.06,819.48,815.38,819.48,68981.990546
1484273400,815.92,819.26,815.92,819.26,22293.288646
1484273460,815.92,819.26,815.92,819.26,22293.288646
1484273520,815.92,819.26,815.92,819.26,22293.288646
1484273580,815.92,819.26,815.92,819.26,22293.288646
1484273640,816.5,816.53,816.5,816.53,9204.4422477
1484273700,816.57,816.57,816.57,816.57,106.1541
1484273760,816.57,816.57,816.57,816.57,106.1541
1484273820,816.57,816.57,816.57,816.57,106.1541
1484273880,816.59,816.59,816.59,816.59,5229.4015305
1484273940,816.59,816.59,816.59,816.59,8.5785474247
1484274000,816.59,816.59,816.59,816.59,24.4977
1484274060,816.59,816.59,816.59,816.59,244.977
1484274120,817.84,817.85,817.84,817.85,40.892168
1484274180,817.83,819.09,817.83,819.09,13102.550514
1484274240,818.49,818.49,818.49,818.49,307.43676939999995
1484274300,818.48,818.48,818.48,818.48,81.848
1484274360,818.48,818.48,818.48,818.48,81.848
1484274420,818.48,818.48,818.48,818.48,245.544
1484274480,818.48,818.48,818.48,818.48,106.4024
1484274540,818.48,818.48,818.48,818.48,106.4024
1484274600,818.48,818.48,818.48,818.48,106.4024
1484274660,818.48,819.81,818.48,819.81,11257.957923
1484274720,819.48,819.49,819.48,819.49,581.02322694
1484274780,819.47,819.47,819.47,819.47,819.47
1484274840,819.47,819.47,819.47,819.47,819.47
1484274900,819.47,819.47,819.47,819.47,5323.686855
1484274960,819.47,819.47,819.47,819.47,5323.686855
1484275020,819.47,819.47,819.47,819.47,8.1947
1484275080,819.46,819.46,819.46,819.46,222.48338999999999
1484275140,819.44,819.45,819.44,819.45,4206.056371
1484275200,819.44,819.45,819.44,819.45,4206.056371
1484275260,819.13,819.14,819.13,819.14,6181.313550600001
1484275320,819.13,819.14,819.13,819.14,6181.313550600001
1484275380,819.14,819.14,819.14,819.14,5418.7093968
1484275440,819.14,819.14,819.14,819.14,5418.7093968
1484275500,819.14,819.14,819.14,819.14,5418.7093968
1484275560,819.14,819.14,819.14,819.14,5540.25339
1484275620,819.14,819.14,819.14,819.14,5540.25339
1484275680,819.14,819.14,819.14,819.14,16.3828
1484275740,819.13,819.13,812.19,817.08,45246.945238
1484275800,817.08,817.08,817.08,817.08,1166.5897613
1484275860,817.09,817.09,817.09,817.09,5020.5032833000005
1484275920,817.09,817.09,817.09,817.09,5020.5032833000005
1484275980,817.09,817.12,817.09,817.11,10095.653979
1484276040,817.12,817.12,817.12,817.12,1639.3831412
1484276100,817.12,817.12,817.12,817.12,820.97735387
1484276160,817.12,817.12,817.12,817.12,6.691256769600001
1484276220,817.12,817.12,817.12,817.12,5088.502732
1484276280,817.12,817.12,817.12,817.12,1.6017839936000002
1484276340,817.12,817.12,817.12,817.12,0.5149081679999999
1484276400,817.12,817.13,817.12,817.13,10837.950425
1484276460,817.13,817.65,817.12,817.65,209.23907421
1484276520,817.65,817.83,817.65,817.83,21.311861839000002
1484276580,817.83,817.83,817.82,817.82,14.813511252
1484276640,817.83,819.07,817.83,819.06,5000.8667978
1484276700,819.06,819.06,819.06,819.06,15.595000687
1484276760,819.06,819.07,819.06,819.07,578.35446268
1484276820,819.07,819.07,819.05,819.05,1239.0256794000002
1484276880,819.05,819.05,809.37,814.17,40189.094094
1484276940,814.17,814.17,808.93,808.93,15144.502944
1484277000,809.89,809.93,809.1,809.1,288.718511
1484277060,809.11,809.13,809.11,809.13,5139.271846500001
1484277120,809.13,809.13,809.11,809.12,4106.9533199
1484277180,809.11,809.11,805.0,806.01,47698.547607
1484277240,806.04,806.04,805.0,805.86,18953.335551
1484277300,805.86,805.86,805.0,805.73,6112.490952800001
1484277360,805.3,805.85,805.3,805.85,4694.9428245
1484277420,805.85,805.86,805.6,805.83,8119.960741500001
1484277480,805.84,807.08,805.83,807.08,27491.812504
1484277540,806.72,806.75,806.15,806.54,39.827630315
1484277600,806.54,806.54,806.54,806.54,15.205980909
1484277660,806.54,806.79,806.54,806.79,22158.56188
1484277720,806.79,808.1,806.79,808.1,13362.700194
1484277780,807.95,808.1,807.95,808.1,4780.2973243999995
1484277840,808.07,808.07,808.01,808.01,302.00916551
1484277900,808.02,808.97,808.02,808.97,16169.977241999999
1484277960,808.48,808.97,808.48,808.97,24.2642
1484278020,808.48,808.97,808.48,808.97,24.2642
1484278080,809.1,809.98,809.1,809.98,4180.0093369999995
1484278140,809.1,809.98,809.1,809.98,4180.0093369999995
1484278200,809.15,809.15,809.14,809.15,7278.893644499999
1484278260,809.13,809.13,809.0,809.0,6893.6721265
1484278320,808.99,809.13,808.98,808.98,2904.2415
